"","data_id","country_id","country_indicator_id","data_time","data_value"
"256",256,2,9,1999-03-22,17880
"257",257,2,10,1999-03-22,NA
"258",258,2,11,1999-03-22,NA
"259",259,2,12,1999-03-22,164.57
"260",260,2,13,1999-03-22,-4.7
"261",261,2,14,1999-03-22,94.9
"262",262,2,2,1998-03-22,1665.1
"263",263,2,3,1998-03-22,NA
"264",264,2,4,1998-03-22,NA
"265",265,2,5,1998-03-22,NA
"266",266,2,6,1998-03-22,NA
"267",267,2,7,1998-03-22,NA
"268",268,2,8,1998-03-22,-66.48
"269",269,2,9,1998-03-22,17620
"270",270,2,10,1998-03-22,NA
"271",271,2,11,1998-03-22,NA
"272",272,2,12,1998-03-22,163.29
"273",273,2,13,1998-03-22,-3.99
"274",274,2,14,1998-03-22,119.93
"275",275,2,2,1997-03-22,1531.94
"276",276,2,3,1997-03-22,NA
"277",277,2,4,1997-03-22,NA
"278",278,2,5,1997-03-22,NA
"279",279,2,6,1997-03-22,NA
"280",280,2,7,1997-03-22,NA
"281",281,2,8,1997-03-22,-56.98
"282",282,2,9,1997-03-22,17220
"283",283,2,10,1997-03-22,NA
"284",284,2,11,1997-03-22,NA
"285",285,2,12,1997-03-22,168.77
"286",286,2,13,1997-03-22,-3.72
"287",287,2,14,1997-03-22,175.67
"288",288,2,2,1996-03-22,1379.96
"289",289,2,3,1996-03-22,NA
"290",290,2,4,1996-03-22,NA
"291",291,2,5,1996-03-22,NA
"292",292,2,6,1996-03-22,NA
"293",293,2,7,1996-03-22,NA
"294",294,2,8,1996-03-22,-28.49
"295",295,2,9,1996-03-22,16370
"296",296,2,10,1996-03-22,NA
"297",297,2,11,1996-03-22,NA
"298",298,2,12,1996-03-22,175.33
"299",299,2,13,1996-03-22,-2.06
"300",300,2,14,1996-03-22,185.59
"301",301,2,2,1995-03-22,1320.47
"302",302,2,3,1995-03-22,NA
"303",303,2,4,1995-03-22,NA
"304",304,2,5,1995-03-22,NA
"305",305,2,6,1995-03-22,NA
"306",306,2,7,1995-03-22,NA
"307",307,2,8,1995-03-22,-20.67
"308",308,2,9,1995-03-22,16230
"309",309,2,10,1995-03-22,NA
"310",310,2,11,1995-03-22,NA
"311",311,2,12,1995-03-22,171.39
"312",312,2,13,1995-03-22,-1.57
"313",313,2,14,1995-03-22,131.56
"314",314,2,2,1994-03-22,1245.69
"315",315,2,3,1994-03-22,NA
"316",316,2,4,1994-03-22,NA
"317",317,2,5,1994-03-22,NA
"318",318,2,6,1994-03-22,NA
"319",319,2,7,1994-03-22,NA
"320",320,2,8,1994-03-22,NA
"321",321,2,9,1994-03-22,15640
"322",322,2,10,1994-03-22,NA
"323",323,2,11,1994-03-22,NA
"324",324,2,12,1994-03-22,NA
"325",325,2,13,1994-03-22,NA
"326",326,2,14,1994-03-22,68.47
"327",327,2,2,1993-03-22,1082.98
"328",328,2,3,1993-03-22,NA
"329",329,2,4,1993-03-22,NA
"330",330,2,5,1993-03-22,NA
"331",331,2,6,1993-03-22,NA
"332",332,2,7,1993-03-22,NA
"333",333,2,8,1993-03-22,NA
"334",334,2,9,1993-03-22,14610
"335",335,2,10,1993-03-22,NA
"336",336,2,11,1993-03-22,NA
"337",337,2,12,1993-03-22,NA
"338",338,2,13,1993-03-22,NA
"339",339,2,14,1993-03-22,71.39
"340",340,2,2,1992-03-22,958.46
"341",341,2,3,1992-03-22,NA
"342",342,2,4,1992-03-22,NA
"343",343,2,5,1992-03-22,NA
"344",344,2,6,1992-03-22,NA
"345",345,2,7,1992-03-22,NA
"346",346,2,8,1992-03-22,NA
"347",347,2,9,1992-03-22,14000
"348",348,2,10,1992-03-22,NA
"349",349,2,11,1992-03-22,NA
"350",350,2,12,1992-03-22,NA
"351",351,2,13,1992-03-22,NA
"352",352,2,14,1992-03-22,76.27
"353",353,2,2,1991-03-22,872.14
"354",354,2,3,1991-03-22,NA
"355",355,2,4,1991-03-22,NA
"356",356,2,5,1991-03-22,NA
"357",357,2,6,1991-03-22,NA
"358",358,2,7,1991-03-22,NA
"359",359,2,8,1991-03-22,NA
"360",360,2,9,1991-03-22,13190
"361",361,2,10,1991-03-22,NA
"362",362,2,11,1991-03-22,NA
"363",363,2,12,1991-03-22,NA
"364",364,2,13,1991-03-22,NA
"365",365,2,14,1991-03-22,71.15
"366",366,2,2,1990-03-22,764.89
"367",367,2,3,1990-03-22,NA
"368",368,2,4,1990-03-22,NA
"369",369,2,5,1990-03-22,NA
"370",370,2,6,1990-03-22,NA
"371",371,2,7,1990-03-22,NA
"372",372,2,8,1990-03-22,NA
"373",373,2,9,1990-03-22,12230
"374",374,2,10,1990-03-22,NA
"375",375,2,11,1990-03-22,NA
"376",376,2,12,1990-03-22,NA
"377",377,2,13,1990-03-22,NA
"378",378,2,14,1990-03-22,71.37
"379",379,2,2,1989-03-22,695.3
"380",380,2,3,1989-03-22,NA
"381",381,2,4,1989-03-22,NA
"382",382,2,5,1989-03-22,NA
"383",383,2,6,1989-03-22,NA
"384",384,2,7,1989-03-22,NA
"385",385,2,8,1989-03-22,NA
"386",386,2,9,1989-03-22,11760
"387",387,2,10,1989-03-22,NA
"388",388,2,11,1989-03-22,NA
"389",389,2,12,1989-03-22,NA
"390",390,2,13,1989-03-22,NA
"391",391,2,14,1989-03-22,64.94
"392",392,2,2,1988-03-22,596.42
"393",393,2,3,1988-03-22,NA
"394",394,2,4,1988-03-22,NA
"395",395,2,5,1988-03-22,NA
"396",396,2,6,1988-03-22,NA
"397",397,2,7,1988-03-22,NA
"398",398,2,8,1988-03-22,NA
"399",399,2,9,1988-03-22,10360
"400",400,2,10,1988-03-22,NA
"401",401,2,11,1988-03-22,NA
"402",402,2,12,1988-03-22,NA
"403",403,2,13,1988-03-22,NA
"404",404,2,14,1988-03-22,68.99
"405",405,16,2,2018-03-22,19362.97
"406",406,16,3,2018-03-22,62
"407",407,16,4,2018-03-22,156
"408",408,16,5,2018-03-22,104
"409",409,16,6,2018-03-22,331
"410",410,16,7,2018-03-22,2
"411",411,16,8,2018-03-22,NA
"412",412,16,9,2018-03-22,550
"413",413,16,10,2018-03-22,0.31
"414",414,16,11,2018-03-22,1.98
"415",415,16,12,2018-03-22,NA
"416",416,16,13,2018-03-22,NA
"417",417,16,14,2018-03-22,10.98
"418",418,16,2,2017-03-22,20191.76
"419",419,16,3,2017-03-22,NA
"420",420,16,4,2017-03-22,NA
"421",421,16,5,2017-03-22,NA
"422",422,16,6,2017-03-22,NA
"423",423,16,7,2017-03-22,NA
"424",424,16,8,2017-03-22,-7961.06
"425",425,16,9,2017-03-22,550
"426",426,16,10,2017-03-22,NA
"427",427,16,11,2017-03-22,NA
"428",428,16,12,2017-03-22,51.24
"429",429,16,13,2017-03-22,-39.43
"430",430,16,14,2017-03-22,7.9
"431",431,16,2,2016-03-22,19362.64
"432",432,16,3,2016-03-22,48
"433",433,16,4,2016-03-22,42
"434",434,16,5,2016-03-22,77
"435",435,16,6,2016-03-22,69
"436",436,16,7,2016-03-22,NA
"437",437,16,8,2016-03-22,-6930.34
"438",438,16,9,2016-03-22,570
"439",439,16,10,2016-03-22,0.24
"440",440,16,11,2016-03-22,1.79
"441",441,16,12,2016-03-22,47.66
"442",442,16,13,2016-03-22,-35.79
"443",443,16,14,2016-03-22,8.21
"444",444,16,2,2015-03-22,19907.11
"445",445,16,3,2015-03-22,53
"446",446,16,4,2015-03-22,43
"447",447,16,5,2015-03-22,85
"448",448,16,6,2015-03-22,67
"449",449,16,7,2015-03-22,NA
"450",450,16,8,2015-03-22,-6320.42
"451",451,16,9,2015-03-22,600
"452",452,16,10,2015-03-22,0.35
"453",453,16,11,2015-03-22,1.7
"454",454,16,12,2015-03-22,55.13
"455",455,16,13,2015-03-22,-31.75
"456",456,16,14,2015-03-22,10.16
"457",457,16,2,2014-03-22,20484.87
"458",458,16,3,2014-03-22,7
"459",459,16,4,2014-03-22,5
"460",460,16,5,2014-03-22,8
"461",461,16,6,2014-03-22,15
"462",462,16,7,2014-03-22,NA
"463",463,16,8,2014-03-22,-7299
"464",464,16,9,2014-03-22,630
"465",465,16,10,2014-03-22,0.27
"466",466,16,11,2014-03-22,1.77
"467",467,16,12,2014-03-22,67.2
"468",468,16,13,2014-03-22,-35.63
"469",469,16,14,2014-03-22,13.78
"470",470,16,2,2013-03-22,20561.05
"471",471,16,3,2013-03-22,7
"472",472,16,4,2013-03-22,5
"473",473,16,5,2013-03-22,8
"474",474,16,6,2013-03-22,15
"475",475,16,7,2013-03-22,2
"476",476,16,8,2013-03-22,-7311.66
"477",477,16,9,2013-03-22,660
"478",478,16,10,2013-03-22,0.23
"479",479,16,11,2013-03-22,1.85
"480",480,16,12,2013-03-22,74.74
"481",481,16,13,2013-03-22,-35.56
"482",482,16,14,2013-03-22,11.63
"483",483,16,2,2012-03-22,20001.62
"484",484,16,3,2012-03-22,7
"485",485,16,4,2012-03-22,5
"486",486,16,5,2012-03-22,8
"487",487,16,6,2012-03-22,15
"488",488,16,7,2012-03-22,2
"489",489,16,8,2012-03-22,-8731.45
"490",490,16,9,2012-03-22,630
"491",491,16,10,2012-03-22,0.24
"492",492,16,11,2012-03-22,1.72
"493",493,16,12,2012-03-22,81.59
"494",494,16,13,2012-03-22,-43.65
"495",495,16,14,2012-03-22,18.18
"496",496,16,2,2011-03-22,17804.28
"497",497,16,3,2011-03-22,37
"498",498,16,4,2011-03-22,31
"499",499,16,5,2011-03-22,72
"500",500,16,6,2011-03-22,64
"501",501,16,7,2011-03-22,NA
"502",502,16,8,2011-03-22,-8006.54
"503",503,16,9,2011-03-22,530
"504",504,16,10,2011-03-22,0.18
"505",505,16,11,2011-03-22,1.66
"506",506,16,12,2011-03-22,88.78
"507",507,16,13,2011-03-22,-44.97
"508",508,16,14,2011-03-22,23.36
"509",509,16,2,2010-03-22,15856.57
"510",510,16,3,2010-03-22,40
"511",511,16,4,2010-03-22,32
"512",512,16,5,2010-03-22,61
"513",513,16,6,2010-03-22,62
"514",514,16,7,2010-03-22,NA
"515",515,16,8,2010-03-22,-7004.82
"516",516,16,9,2010-03-22,510
"517",517,16,10,2010-03-22,0.15
"518",518,16,11,2010-03-22,1.68
"519",519,16,12,2010-03-22,81.32
"520",520,16,13,2010-03-22,-44.18
"521",521,16,14,2010-03-22,20.27
"522",522,16,2,2009-03-22,12439.09
"523",523,16,3,2009-03-22,36
"524",524,16,4,2009-03-22,30
"525",525,16,5,2009-03-22,58
"526",526,16,6,2009-03-22,60
"527",527,16,7,2009-03-22,NA
"528",528,16,8,2009-03-22,-5468.75
"529",529,16,9,2009-03-22,450
"530",530,16,10,2009-03-22,0.45
"531",531,16,11,2009-03-22,1.62
"532",532,16,12,2009-03-22,89.36
"533",533,16,13,2009-03-22,-43.96
"534",534,16,14,2009-03-22,20.47
"535",535,16,2,2008-03-22,10109.22
"536",536,16,3,2008-03-22,34
"537",537,16,4,2008-03-22,33
"538",538,16,5,2008-03-22,56
"539",539,16,6,2008-03-22,61
"540",540,16,7,2008-03-22,2
"541",541,16,8,2008-03-22,-4667.71
"542",542,16,9,2008-03-22,NA
"543",543,16,10,2008-03-22,0.14
"544",544,16,11,2008-03-22,1.71
"545",545,16,12,2008-03-22,100.07
"546",546,16,13,2008-03-22,-46.17
"547",547,16,14,2008-03-22,13.67
"548",548,16,2,2007-03-22,9747.89
"549",549,16,3,2007-03-22,NA
"550",550,16,4,2007-03-22,NA
"551",551,16,5,2007-03-22,NA
"552",552,16,6,2007-03-22,NA
"553",553,16,7,2007-03-22,NA
"554",554,16,8,2007-03-22,-4207
"555",555,16,9,2007-03-22,NA
"556",556,16,10,2007-03-22,NA
"557",557,16,11,2007-03-22,NA
"558",558,16,12,2007-03-22,81.39
"559",559,16,13,2007-03-22,-43.16
"560",560,16,14,2007-03-22,NA
"561",561,16,2,2006-03-22,6971.29
"562",562,16,3,2006-03-22,NA
"563",563,16,4,2006-03-22,NA
"564",564,16,5,2006-03-22,NA
"565",565,16,6,2006-03-22,NA
"566",566,16,7,2006-03-22,NA
"567",567,16,8,2006-03-22,-3428.94
"568",568,16,9,2006-03-22,NA
"569",569,16,10,2006-03-22,NA
"570",570,16,11,2006-03-22,NA
"571",571,16,12,2006-03-22,99.82
"572",572,16,13,2006-03-22,-49.19
"573",573,16,14,2006-03-22,NA
"574",574,16,2,2005-03-22,6209.14
"575",575,16,3,2005-03-22,NA
"576",576,16,4,2005-03-22,NA
